Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
fries,fry,,,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir <span class=""AS"">fry</span> blue crab.","he even exclaimed that the french <span class=""AS"">fries</span> were the best he has had.","The highlight of the night was the mayonaisse for my side of <span class=""AS"">fries</span> I received from one of the food runners, which is not good considering the bill was nearly $100.","I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir <span class=""AS"">fry</span> blue crab.","The french <span class=""AS"">fries</span> -- with the kalmata dip were terrific!","The <span class=""AS"">fries</span> are yummy."
selection,,,,"They have an excellent <span class=""AS"">selection</span> (the rolls with crab are really great).","Two complaints- their appetizer <span class=""AS"">selection</span> stinks, it would be nice to get some mozzarella sticks on the menu.","Two complaints- their appetizer <span class=""AS"">selection</span> stinks, it would be nice to get some mozzarella sticks on the menu.","The <span class=""AS"">selection</span> changes frequently but the basic dishes are always available.","They have a huge <span class=""AS"">selection</span> of different cream cheeses and all of their salads are great.","good <span class=""AS"">selection</span> of wines ranging from affordable to high end.","Decent wine <span class=""AS"">selection</span> too.","The large <span class=""AS"">selection</span> of bruschettas, paninis, tramezzinis keep the palate from stagnating.","The boutique <span class=""AS"">selection</span> of wines covers a wide variety without being imposeing.","It has good music, nice tapas, an interesting <span class=""AS"">selection</span> of wines (primarily Spanish) and a lowkey hip neighborhood clientele.","But, hey, there is anything better with a decent vegetarian <span class=""AS"">selection</span> in Astoria.","The wine <span class=""AS"">selection</span> (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.","The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive <span class=""AS"">selection</span> of wines.","Wine list <span class=""AS"">selection</span> is good and wine-by-the-glass was generously filled to the top.","Slightly above average wines start at $70+ with only one <span class=""AS"">selection</span> listed at $30+.","Great <span class=""AS"">selection</span> of wine, and seafood.","Slightly above average wines start at $70+ with only one <span class=""AS"">selection</span> listed at $30+.","Wine list <span class=""AS"">selection</span> is good and wine-by-the-glass was generously filled to the top.","The large <span class=""AS"">selection</span> of bruschettas, paninis, tramezzinis keep the palate from stagnating.","They have a huge <span class=""AS"">selection</span> of different cream cheeses and all of their salads are great."
rolls,roll,,,"They have an excellent selection (the <span class=""AS"">rolls</span> with crab are really great).","The spicy Tuna <span class=""AS"">roll</span> is huge and probably the best that I've had at this price range.","Try the rose <span class=""AS"">roll</span> (not on menu).","Though the Spider <span class=""AS"">Roll</span> may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","Really tasty spring <span class=""AS"">rolls</span> and noodles for a good price though.","then we ordered a dinosaur <span class=""AS"">rolls</span> and white tuna sashimi.","the tuna was soggy and the other <span class=""AS"">rolls</span> had no flavor.","Light, refreshing summer <span class=""AS"">rolls</span> (not fried) remind me of Vietnamese places in Paris.","I need at least three <span class=""AS"">rolls</span> to be full, and that's at least $14.00!","Plus, when our entrees were held up in the kitchen on a busy Saturday night, the owner sent over complimentary summer <span class=""AS"">rolls</span> to hold us over!","I like Mamoun's food as well, but side by side, Kati <span class=""AS"">Rolls</span> just produce tastier food hands down.","As everyone says, the Spicy Tuna hand <span class=""AS"">rolls</span> are the best-","It costs $2 extra to turn a regular <span class=""AS"">roll</span> into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.","I heard the lobster <span class=""AS"">roll</span> was excellent.","The spicy tuna <span class=""AS"">roll</span> was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","The food is all-around good, with the <span class=""AS"">rolls</span> usually excellent and the sushi/sashimi not quite on the same level.","those <span class=""AS"">rolls</span> were big, but not good and sashimi wasn't fresh.","They are not helpful in the least and will give you the grand run around so by the time the event date <span class=""AS"">rolls</span> around you will not only regret chosing this place, but also become hostile!","They are not helpful in the least and will give you the grand run around so by the time the event date <span class=""AS"">rolls</span> around you will not only regret chosing this place, but also become hostile!","Mizu is home to creative and unique <span class=""AS"">rolls</span> not to found anywhere else."
dining,,,,"This was the worst <span class=""AS"">dining</span> experience I've ever had.","The <span class=""AS"">dining</span> room is quietly elegant with no music to shout over -- how refreshing!","I got the opportunity to dine at your establishment again a few weeks ago, I was in your upstrairs <span class=""AS"">dining</span> area.","Over the years, it has always provided a pleasurable <span class=""AS"">dining</span> experience with quality food and wine.","A new Jazz Bar, the most fantastic <span class=""AS"">Dining</span> Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!","When you're sitting in their main <span class=""AS"">dining</span> room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.","The entire <span class=""AS"">dining</span> experience was wonderful!","We would like to thank Marcelo and Grace for a wonderful <span class=""AS"">dining</span> experience!!!","The <span class=""AS"">dining</span> room is quietly elegant with no music to shout over -- how refreshing!","You can certainly find restaurants that offer a superior fine <span class=""AS"">dining</span> experience, but for superb food at reasonable prices, La Villa can't be beat.","Still, try it once, since if you end up loving the food, it could be one of your best <span class=""AS"">dining</span> experiences.","You could get a much better <span class=""AS"">dining</span> experience for the same amount of money in a lot of other French Bistros.","That said, I thought Scalini Fedeli was one of the best <span class=""AS"">dining</span> experiences I've EVER had.","Really Lovely <span class=""AS"">dining</span> experience in the midst of buzzing midtown area.","For me dishes a little oily, but overall <span class=""AS"">dining</span> experience good.","but I feel obligated...while sitting at the sushi bar <span class=""AS"">dining</span> we watched the chef accidentally drop a piece of Unagi on the floor and upon retrieving it from the floor","fine <span class=""AS"">dining</span> restaurant quality.","The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the <span class=""AS"">dining</span> ride of a lifetime.","Great food, great drinks, nice <span class=""AS"">dining</span> atmosphere.","Warm, comfortable surroundings, nice appointments (witness the etched glass and brickwork separating the <span class=""AS"">dining</span> rooms)."
dining experiences,dining experience,,,"This was the worst <span class=""AS"">dining experience</span> I've ever had.","Over the years, it has always provided a pleasurable <span class=""AS"">dining experience</span> with quality food and wine.","The entire <span class=""AS"">dining experience</span> was wonderful!","You could get a much better <span class=""AS"">dining experience</span> for the same amount of money in a lot of other French Bistros.","That said, I thought Scalini Fedeli was one of the best <span class=""AS"">dining experiences</span> I've EVER had.","Really Lovely <span class=""AS"">dining experience</span> in the midst of buzzing midtown area.","For me dishes a little oily, but overall <span class=""AS"">dining experience</span> good.","Made my <span class=""AS"">dining experience</span> uncomfortable.","I would highly recommend this place to anyone who is looking for a fine Indian <span class=""AS"">dining experience</span> that is definitely a value for your dollar.","Probably my worst <span class=""AS"">dining experience</span> in new york, and I'm a former waiter"
tables,table,,,"If you can handle that, it's a great place for a business dinner, fun with friends or simply a <span class=""AS"">table</span> for 2.","We were offered water for the <span class=""AS"">table</span> but were not told the Voss bottles of water were $8 a piece.","After really enjoying ourselves at the bar we sat down at a <span class=""AS"">table</span> and had dinner.","Although the <span class=""AS"">tables</span> may be closely situated, the candle-light, food-quality and service overcompensate.","Not only is the service great, but forming conversation around a <span class=""AS"">table</span> is so easy beacuse the atmosphere can be both romantic and comfortable.","Went there with my wife and we had to wait for a <span class=""AS"">table</span> even though you could see there many that were empty with not reservation sigh on them.","we did notice however, that some <span class=""AS"">tables</span> had what looked like pita instead of naan.","Cozy romantic atomosphere with only around 15 <span class=""AS"">tables</span> at most.","And at the conclusion of this culinary nightmare the check was given to our <span class=""AS"">table</span> by knocking over a glass of water.","It saves walking in and waiting for a <span class=""AS"">table</span> in the often noisy, crowded bar at dinnertime.","What came to our <span class=""AS"">table</span> was burned beyond recognition and stringy.","Ask for the round corner <span class=""AS"">table</span> next to the large window.","Went there with my wife and we had to wait for a <span class=""AS"">table</span> even though you could see there many that were empty with not reservation sigh on them.","The restuarant itself is not large, but seems to have several round <span class=""AS"">tables</span> to accomodate large groups hoping to save a buck to eat authentic Taiwanese.","We weren't even at our <span class=""AS"">table</span> for more than an hour total.","Each <span class=""AS"">table</span> has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.","Sometimes <span class=""AS"">tables</span> don't understand his sense of humor","And, atlhough <span class=""AS"">tables</span> opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.","Both times we waited well over a half hour for a <span class=""AS"">table</span> (even though we had reservations).","I went with 5 friends and we lingered at the <span class=""AS"">table</span> for a bit and didn't feel rushed at all even though there was a wait."
business,,,,"If you can handle that, it's a great place for a <span class=""AS"">business</span> dinner, fun with friends or simply a table for 2.","Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the <span class=""AS"">business</span> this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.","This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with <span class=""AS"">business</span> associates.","Wait staff is blantently unappreciative of your <span class=""AS"">business</span> but its the best pie on the UWS!","They might be all <span class=""AS"">business</span> at the counter when you give your order, but their food says I love you.","I think that it is absolutely brilliant and well runned <span class=""AS"">business</span> operation.","Ambience is so cute and quaint, good for <span class=""AS"">business</span> although we were there on vacation.","This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with <span class=""AS"">business</span> associates.","Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the <span class=""AS"">business</span> this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.","I think that it is absolutely brilliant and well runned <span class=""AS"">business</span> operation.","Ambience is so cute and quaint, good for <span class=""AS"">business</span> although we were there on vacation.","I asked for an open faced cheese sandwich and the manager basically told me to take my <span class=""AS"">business</span> elsewhere!","How can hope to stay in <span class=""AS"">business</span> with service like this?"
tuna roll,,,,"The spicy <span class=""AS"">Tuna roll</span> is huge and probably the best that I've had at this price range.","The spicy <span class=""AS"">tuna roll</span> was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
water,,,,"We were offered <span class=""AS"">water</span> for the table but were not told the Voss bottles of water were $8 a piece.","The tastes makes your mouth <span class=""AS"">water</span> for more.","The only beverage we did receive was <span class=""AS"">water</span> in dirty glasses!","Each table has a pot of boiling <span class=""AS"">water</span> sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.","The mussaman curry that I ordered was as thin as <span class=""AS"">water</span> and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.","Just make sure my ice <span class=""AS"">water</span> is kept full and my tea kettle filled with piping hot tea and that's all the service I need...","It took them 15 minutes to put <span class=""AS"">water</span> in our glasses.","My mouth starts to <span class=""AS"">water</span> merely thinking about the delight that is this restaurant.","I could have drank 4 glasses of <span class=""AS"">water</span> and still been parched - so watch out.","We got no cheese offered for the pasta, our <span class=""AS"">water</span> and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.","It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping <span class=""AS"">water</span> on hand.","Although they do the typical what kind of <span class=""AS"">water</span> would you like questions the service was good and overall very relaxing to place to eat."
service,,,,"The <span class=""AS"">service</span> is great, my soup always arrives nice and hot.","The <span class=""AS"">service</span> was attentive, yet discreet.","Great food, good size menu, great <span class=""AS"">service</span> and an unpretensious setting.","Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense <span class=""AS"">service</span> and a clean and funky bathroom.","but the <span class=""AS"">service</span> was a bit slow.","Everything is always cooked to perfection, the <span class=""AS"">service</span> is excellent, the decor cool and understated.","The place is small and intimate and you may feel a little crowded, but the <span class=""AS"">service</span> is excellent and it's great for friends out, a romantic date, or a special occassion.","The <span class=""AS"">service</span> is ok, some of the people didn't get what they asked for.","I have been coming here for years and have nothing but good things to say about the <span class=""AS"">service</span> and the great staff at La Lanterna.","The <span class=""AS"">service</span> was excellent - friendly and attentive.","We had a birthday party here recently and the food and <span class=""AS"">service</span> was amazing.","The <span class=""AS"">service</span> is ok, some of the people didn't get what they asked for.","Not only is the cuisine the best around, the <span class=""AS"">service</span> has always been attentive and charming.","The <span class=""AS"">service</span> is fantastic.","The <span class=""AS"">service</span> is ok but could be better.","The <span class=""AS"">service</span> was poor, restaurant poorly lit, staff not very attentive","Although the tables may be closely situated, the candle-light, food-quality and <span class=""AS"">service</span> overcompensate.","Not only is the <span class=""AS"">service</span> great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.","Over time, the food quality has decreased substantially, it is a lot less crowded than it used to, and the <span class=""AS"">service</span> must definitely be part of the reason.","The <span class=""AS"">service</span> is descent even when this small place is packed."
soup,,,,"The service is great, my <span class=""AS"">soup</span> always arrives nice and hot.","The ground chickpea <span class=""AS"">soup</span> we sampled as a starter tasted somewhat thin.","The <span class=""AS"">soup</span> is pretty good too.","Get the <span class=""AS"">soup</span> and a nosh (pastrami sandwich) for $8 and you're golden.","The food was average to above-average; the French Onion <span class=""AS"">soup</span> filling yet not overly impressive, and the desserts not brilliant in any way.","the mushroom barley <span class=""AS"">soup</span> is amazing.","The <span class=""AS"">soup</span> for the udon was soy sauce and water.","For a savory take on the <span class=""AS"">soup</span> and sandwich meal, try the hot and sour soup.","Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip <span class=""AS"">soup</span> with pureed basil, gratis.","Best drumsticks over rice and sour spicy <span class=""AS"">soup</span> in town!","Best drumsticks over rice and sour spicy <span class=""AS"">soup</span> in town!","We ordered some beef and noodle <span class=""AS"">soup</span> dishes from the Thai section of the menu but nothing we got was Thai.","Beef noodle <span class=""AS"">soup</span> is good as well.","We ordered some beef and noodle <span class=""AS"">soup</span> dishes from the Thai section of the menu but nothing we got was Thai.","I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato <span class=""AS"">soup</span> with chevre, steak frites, creme brulee) and it was marvelous.","I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to share with the rice congee <span class=""AS"">soup</span> people.","The food was really good, I had the onion <span class=""AS"">soup</span> and it was one of the best ever.","Beef noodle <span class=""AS"">soup</span> is good as well.","The entrees were served with miso <span class=""AS"">soup</span> and rice.","good place to hang out during the day after shopping or to grab a simple <span class=""AS"">soup</span> or classic french dish over a glass of wine."
pork,,,,"A few tips: skip the turnip cake, roast <span class=""AS"">pork</span> buns and egg custards.","I reccomend the fried <span class=""AS"">pork</span> dumplings, the orange chicken/beef, and the fried rice.","Chow fun was dry; <span class=""AS"">pork</span> shu mai was more than usually greasy and had to share a table with loud and rude family.","In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based <span class=""AS"">pork</span> product know to us Jersey girls and boys as Taylor ham.","But the best <span class=""AS"">pork</span> souvlaki I ever had is the main thing.","If you want some roast duck, <span class=""AS"">pork</span> or chicken on rice with ginger, try them out!","Food was very good as well, considering that we tried the budget selection (though I wish the <span class=""AS"">pork</span> belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","The hot dogs are good, yes, but the reason to get over here is the fantastic <span class=""AS"">pork</span> croquette sandwich, perfect on its supermarket squishy bun.","I recommend their Pad See Ew, <span class=""AS"">Pork</span> Chops or Tofu plates.","Food was very good as well, considering that we tried the budget selection (though I wish the <span class=""AS"">pork</span> belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)."
nothing,,,,"Surprisingly <span class=""AS"">nothing</span> could be further from the truth.","I have been coming here for years and have <span class=""AS"">nothing</span> but good things to say about the service and the great staff at La Lanterna.","There is <span class=""AS"">nothing</span> more pleasant than that.","We refused to pay for it because at this point it had <span class=""AS"">nothing</span> to do with the food anymore.","good variety but <span class=""AS"">nothing</span> surprising.","Decor is minimalist and clean - <span class=""AS"">nothing</span> to distract or commend.","I don't remember what we had; <span class=""AS"">nothing</span> was memorable.","Problem is <span class=""AS"">nothing</span> at Prune is particularly memorable.","Amma is <span class=""AS"">nothing</span> special.","The atmosphere is <span class=""AS"">nothing</span> special, but it feels like a Sushi establishment in Tokyo.","Food was okay, <span class=""AS"">nothing</span> great.","too large for just two people but <span class=""AS"">nothing</span> was left.","but definitely <span class=""AS"">nothing</span> great.","The food itself was just ok - <span class=""AS"">nothing</span> spectacular - but the service was awful.","While the prices are <span class=""AS"">nothing</span> special, the portions are huge.","Bay Terrace mall is <span class=""AS"">nothing</span> (ok, almost nothing) without it!","Both were very good, but <span class=""AS"">nothing</span> you couldn't get at similar restaurant.","Amma is <span class=""AS"">nothing</span> special.","The food is very good too but for the most part, it's just regular food, <span class=""AS"">nothing</span> special.","We ordered some beef and noodle soup dishes from the Thai section of the menu but <span class=""AS"">nothing</span> we got was Thai."
things,thing,,,"Some Pineapple covered in a glaze of some kind and some pear tart <span class=""AS"">thing</span> Not impressive at all.","I have been coming here for years and have nothing but good <span class=""AS"">things</span> to say about the service and the great staff at La Lanterna.","you know what i mean all the positives <span class=""AS"">things</span> happening there made mw write this review.","The only <span class=""AS"">thing</span> that my friend left out is that when we sat down at the bar the bartender disappeared.","The only <span class=""AS"">thing</span> more wonderful than the food (which is exceptional) is the service.","The one positive <span class=""AS"">thing</span> I can say is that the service was prompt, we got seated right away and the server was very friendly.","Another great <span class=""AS"">thing</span> about Glechik-everything is very cheap!","As soon as I wake up on a saturday or sunday it is the first <span class=""AS"">thing</span> on my mind is when and how I will be getting to fried dumpling.","Service could be improved but overall this is a place that understands the importance of little <span class=""AS"">things</span> (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond <span class=""AS"">thing</span> to do...","The halibut cheek appetizer came with a generous portion of foie gras, but that's about the only positive <span class=""AS"">thing</span> I can say about the meal.","The portions are HUGE, so it might be good to order three <span class=""AS"">things</span> to split (rather than one appetizer and entree per person) for two people.","maybe you dont know how <span class=""AS"">things</span> work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.","But the <span class=""AS"">thing</span> that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.","When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes <span class=""AS"">things</span> differently While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.","The mussles were the fishiest <span class=""AS"">things</span> I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it...","I can't pick anything to eat and not because the menu is filled with great <span class=""AS"">things</span> to eat.","The only <span class=""AS"">thing</span> that strikes you is the decor?(not very pleasant).","it's manhattan, <span class=""AS"">things</span> are expensive.","The atmosphere is noisy and the waiters are literally walking around doing <span class=""AS"">things</span> as fast as they can."
kind,,,,"Some Pineapple covered in a glaze of some <span class=""AS"">kind</span> and some pear tart thing Not impressive at all.","You can also special order any <span class=""AS"">kind</span> of dumpling,etc.","This is the <span class=""AS"">kind</span> of place you'd like to take all your friends to and still keep a secret.","The staff is very <span class=""AS"">kind</span> and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.","It's just everything...the food, the atmosphere...the incrediby <span class=""AS"">kind</span> and gracious hostess.","It's the <span class=""AS"">kind</span> of place I like to support!","Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was <span class=""AS"">kind</span> of bitter though).","Wish NY had more of these <span class=""AS"">kind</span> of places: intimate, superb food, homey, top notch all the way around, certainly worth the wait.","Great roofdeck, nice group of 30 somethings, but no music, <span class=""AS"">kind</span> of quiet.","The problem is just that-it is a sometimes <span class=""AS"">kind</span> of affair.","the food was mediocre to be <span class=""AS"">kind</span> - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty","Restaurant snobs need not bother, this is a small, neighborhood <span class=""AS"">kind</span> of place.","The decor in this place is very diner-ish and the <span class=""AS"">kind</span> of place you expect in the East Village - not romantic, just simple, small and sparse.","Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are <span class=""AS"">kind</span> enough to split the dish in half","Yet paired with such rude service, would never recommend for anyone interested in carrying any <span class=""AS"">kind</span> of conversation while there.","This is the <span class=""AS"">kind</span> of place you'd like to take all your friends to and still keep a secret.","Although they do the typical what <span class=""AS"">kind</span> of water would you like questions the service was good and overall very relaxing to place to eat."
tart,,,,"Some Pineapple covered in a glaze of some kind and some pear <span class=""AS"">tart</span> thing Not impressive at all.","Desserts are almost incredible: my personal favorite is their <span class=""AS"">Tart</span> of the Day."
anything,,,,"I recommend the garlic shrimp, okra (bindi), and <span class=""AS"">anything</span> with lamb.","Nobody at this restaurant will give firm answers about <span class=""AS"">anything</span> and in the end, not one person takes responsibility for anything.","The food we ordered was excellent, although I wouldn't say the margaritas were <span class=""AS"">anything</span> to write home about.","Next time, we wouldn't dare ordering <span class=""AS"">anything</span> else other than some simple Asian appetizers and drinks.","This is a typical example of an establishment in which its owners do not know <span class=""AS"">anything</span> about the restaurant business!","Next time, we wouldn't dare ordering <span class=""AS"">anything</span> else other than some simple Asian appetizers and drinks.","Also, the sandwiches (nearing $7) didn't come with <span class=""AS"">anything</span> like chips or a side.","Sushi wasn't <span class=""AS"">anything</span> spectacular for the price.","I can't pick <span class=""AS"">anything</span> to eat and not because the menu is filled with great things to eat.","Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had <span class=""AS"">anything</span> but a perfect experience at Yasuda.","But, hey, there is <span class=""AS"">anything</span> better with a decent vegetarian selection in Astoria.","The manager claimed that he could not compensate us for <span class=""AS"">anything</span> on the bill which just shows the lack of sophistication from the entire group.","heard of <span class=""AS"">anything</span> so ridiculously wonderful?","I've never ordered <span class=""AS"">anything</span> else from their menu...","I have never had <span class=""AS"">anything</span> like it!","Nobody at this restaurant will give firm answers about <span class=""AS"">anything</span> and in the end, not one person takes responsibility for anything.","A restaurant that doesn't try to do <span class=""AS"">anything</span> except serve great food with great service in a pleasant atmosphere.","But who says Murray's is <span class=""AS"">anything</span> about service.","But who says Murray's is <span class=""AS"">anything</span> about service.","The service is always bad though, don't expect much of <span class=""AS"">anything</span> from your server, and I would not recommend bringing a date here either."
money,,,,"I visit New Green Bo when I have <span class=""AS"">money</span> or when I am broke.","MY husbands birthday and my sons was not as it was intended... and we drove two hours to spend too much <span class=""AS"">money</span> to be treated terribly!","Besides, when you have bad service, that's less <span class=""AS"">money</span> you have to tip.","Save your <span class=""AS"">money</span> and don't waste your calories, go to Margharita's on Washington Street instead, they have amazing food and the BEST service.","Amma has the worst value for <span class=""AS"">money</span> I have experienced in NYC over the past 2 years.","This place has good potential, but needs a significant amount of work before we can justify spending that much <span class=""AS"">money</span> on indian food you can get everywhere else.","Don't waste <span class=""AS"">money</span> on decor.","Way too much <span class=""AS"">money</span> for such a terrible meal.","You could get a much better dining experience for the same amount of <span class=""AS"">money</span> in a lot of other French Bistros.","This restaurant is not worth the time, effort, or <span class=""AS"">money</span> to say the least.","A great way to make some <span class=""AS"">money</span> is to buy a case of snapple from Costco and sell it right outside for only $2.50.","Don't waste <span class=""AS"">money</span> on decor.","I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their <span class=""AS"">money</span> and time.","Your <span class=""AS"">money</span> could easily be better spent elsewhere","Immediately after we paid, the waiter took the <span class=""AS"">money</span> and said, okay, you guys are outta here.","I am actually offended to have spent so much <span class=""AS"">money</span> on such a bad experience."
check,,,,"I lived on 50th st, and wanted Indian one day so decided to <span class=""AS"">check</span> this place out.","Not one to jump to complaints (hence my lack of previous online reviewing), I called the restaurant to give them a heads up that their kitchen might want to <span class=""AS"">check</span> the cleanliness of their prep stations.","We were sorry to <span class=""AS"">check</span> them off our list as we had enjoyed and recommended the place in the past.","And at the conclusion of this culinary nightmare the <span class=""AS"">check</span> was given to our table by knocking over a glass of water.","The neighborhood was nice though so <span class=""AS"">check</span> out another restaurant instead.","She then put the <span class=""AS"">check</span> down without asking if we were done, and came to check on the bill every two minutes, even though we were one of three occupied tables.","The waitress came to <span class=""AS"">check</span> in on us every few minutes, and began to clear the plates while half of us were still eating (a big pet peeve of mine that happens almost everywhere, so I try to ignore it).","Finally, after all the raving I went to <span class=""AS"">check</span> it out with one of my enthusiastic friends this last Saturday night and let me tell you its all its cracked up to be.","if you happen to be by Madison Square Garden or Herald's Square <span class=""AS"">check</span> it out!","Definitely something to come down and <span class=""AS"">check</span> out.","and they hadn't even brought us a <span class=""AS"">check</span> yet!","I cannot recommend OG more highly if I tried - <span class=""AS"">check</span> it out for yourself.","great toppings definitely a place you need to <span class=""AS"">check</span> out for late night munchies or a mid day boost!","I have been urged by friends for months to <span class=""AS"">check</span> out the mermaid inn.","The only disappointment was the coat <span class=""AS"">check</span> girls who didn't seem to know what a customer is on a realtively non-busy night (for the coat check girls).","As soon as my father lifted his pen from the <span class=""AS"">check</span> a chef appeared to usher us out.","If anyones has doubt of not knowing enough about wines,please <span class=""AS"">check</span> their wine list.","Definately <span class=""AS"">check</span> it out!!!","Skip Baroanda down the street (Eurotrashy, snooty and expensive) and <span class=""AS"">check</span> this place out!"
soho,,,,"Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy <span class=""AS"">SoHo</span> into Queens."
servers,server,,,"The <span class=""AS"">server</span> was really cool and served us our food and drinks with a smile.","The most annoying thing, though, is the fact that the <span class=""AS"">servers</span> seem to be trained to drive revenue.","The one positive thing I can say is that the service was prompt, we got seated right away and the <span class=""AS"">server</span> was very friendly.","they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one <span class=""AS"">server</span> per table.","The menu looked good, except for offering the Chilean Sea Bass, but the <span class=""AS"">server</span> does not offer up the specials that were written on the board outside.","but it's refreshing to have a <span class=""AS"">server</span> who has personality, professionalism, and respects the privacy of your dinner.","And all the [female] <span class=""AS"">servers</span> are cute too, which is always nice.","The host (owner) and <span class=""AS"">servers</span> are personable and caring.","I had a terrific meal, and our <span class=""AS"">server</span> guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.","A different <span class=""AS"">server</span> enhanced the fun, dumping our entrees in front of us halfway through our appetizer (which was delicious).","The portions are large and the <span class=""AS"">servers</span> always surprise us with a different starter.","The portions are large and the <span class=""AS"">servers</span> always surprise us with a different starter.","Our <span class=""AS"">server</span> checked on us maybe twice during the entire meal.","Our <span class=""AS"">server</span> was very helpful and friendly.","Ok, so the <span class=""AS"">servers</span> wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.","Our friendly <span class=""AS"">server</span> made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.","The <span class=""AS"">servers</span> give you some sample slices of your order while you wait (shortly I might add).","Most of the <span class=""AS"">servers</span> are very attentive, friendly and quite attractive."
